subsys4	010B	001B	009B	012B	013A	014B	017B	018B
_Toximoron (Other)	1	1	0	2	2	1	1	1
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	268	25	10	3290	4038	6231	8580	4671
(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)	82	211	86	20223	12269	16540	18278	8847
(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase	1	0	0	31	121	141	175	105
[Acyl-carrier-protein] malonyl transferase of FASI (EC 2.3.1.39)	2	3	1	196	56	1914	381	322
[NiFe] hydrogenase metallocenter assembly protein HybG	1	4	1	1	1	7	4	1
[NiFe] hydrogenase metallocenter assembly protein HypC	3	15	9	2033	163	224	740	515
[NiFe] hydrogenase metallocenter assembly protein HypD	4	14	4	1175	128	168	388	283
[NiFe] hydrogenase metallocenter assembly protein HypE	3	12	2	1521	167	200	592	434
[NiFe] hydrogenase metallocenter assembly protein HypF	5	14	6	1515	281	499	609	802
[NiFe] hydrogenase nickel incorporation protein HybF	0	3	0	0	0	0	0	0
[NiFe] hydrogenase nickel incorporation protein HypA	2	2	1	2	2	2	2	2
[NiFe] hydrogenase nickel incorporation-associated protein HypB	1	1	1	2	1	1	2	1
[Protein-PII] uridylyltransferase (EC 2.7.7.59)	0	0	0	0	0	1	0	0
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	423	966	739	2625	1086	3391	5032	4207
1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)	5	14	5	882	788	1536	2951	1524
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	252	566	325	378	468	558	1535	657
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	10	24	12	1298	967	2834	3140	1737
1-phosphofructokinase (EC 2.7.1.56)	2510	5137	1727	2855	7043	2145	2165	879
1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	23	54	23	8585	2110	5037	22382	12424
1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.74)	864	2068	771	123	256	344	525	265
16 kDa heat shock protein A	0	0	0	0	0	0	0	0
16 kDa heat shock protein B	0	0	0	2	0	2	0	0
16S rRNA processing protein RimM	607	1604	1287	3194	3944	6175	12162	5269
2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	48	75	28	2396	1296	3427	6824	3764
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	17	31	99	2217	1240	2854	3048	1708
2-aminoethylphosphonate uptake and metabolism regulator	0	0	0	0	0	0	0	0
2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)	0	0	0	0	0	0	0	0
2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)	5	4	8	181	334	377	1791	461
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)	9	16	12	1938	1194	2645	5694	2952
2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	1	7	1	56	35	17	117	21
2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)	0	0	0	0	0	0	0	0
2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)	42	175	88	1025	2024	689	2439	1225
2-dehydropantoate 2-reductase (EC 1.1.1.169)	11	18	7	1046	657	1737	2667	1475
2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	3	1	1	211	254	776	1555	429
2-deoxyglucose-6-phosphate hydrolase YniC	6	127	37	1028	968	783	497	191
2-haloalkanoic acid dehalogenase (EC 3.8.1.2)	0	0	1	3	0	54	0	0
2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	1	1	1	1	1	3	3	5
2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)	0	0	0	0	0	0	0	0
2-isopropylmalate synthase (EC 2.3.3.13)	1	4	3	2	119	152	43	31
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)	1	3	1	294	95	190	449	397
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)	4	4	3	334	216	299	1086	371
2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)	0	0	0	0	0	0	0	0
2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)	5	14	3	2105	1040	1912	3630	2137
2-keto-3-deoxygluconate permease (KDG permease)	1	1	1	1	5	17	1017	23
2-ketoaldonate reductase, broad specificity (EC 1.1.1.215) (EC 1.1.1.-)	0	0	0	0	0	0	0	0
2-methylcitrate dehydratase (EC 4.2.1.79)	0	0	0	0	0	1	0	0
2-methylcitrate dehydratase FeS dependent (EC 4.2.1.79)	0	0	0	0	0	0	0	0
2-methylcitrate synthase (EC 2.3.3.5)	0	0	0	0	0	0	0	0
2-methylisocitrate dehydratase (EC 4.2.1.99)	0	0	0	0	0	1	0	0
2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)	0	0	0	0	0	0	1	0
2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)	0	0	0	0	0	0	0	0
2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)	1	0	1	0	0	0	0	0
2-phosphosulfolactate phosphatase (EC 3.1.3.71)	0	0	0	0	0	0	0	0
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	3	2	2	133	175	423	781	276
2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)	1	1	1	1	2	1	1	2
2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.1)	28	50	13	3621	2007	5022	8798	6124
2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)	0	0	2	0	0	0	0	0
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)	18	2305	774	186	161	139	336	39
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)	0	0	0	1	0	0	0	1
2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)	0	0	0	0	0	0	0	0
2,5-diketo-D-gluconate reductase A (EC 1.1.1.274)	0	0	0	0	0	1	0	0
2,5-diketo-D-gluconic acid reductase B (EC 1.1.1.274)	0	0	0	0	0	0	0	0
2'-5' RNA ligase	0	0	0	0	0	0	0	2
2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)	781	1277	1246	25	7	7	30	47
21 kDa hemolysin precursor	0	0	0	0	2	0	0	0
23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)	0	5	0	325	673	619	1057	773
23S rRNA (Uracil-5-) -methyltransferase rumB (EC 2.1.1.-)	0	0	0	0	0	0	0	0
2H phosphoesterase superfamily protein Bsu1186 (yjcG)	0	0	0	0	0	0	0	0
3-aminobutyrl-CoA ammonia lyase (EC 4.3.1.14)	1	1	1	1	1	1	3	1
3-dehydro-L-gulonate 2-dehydrogenase (EC 1.1.1.130)	0	0	1	0	0	0	0	0
3-dehydroquinate dehydratase I (EC 4.2.1.10)	4	19	13	244	169	406	203	81
3-dehydroquinate dehydratase II (EC 4.2.1.10)	16	12	13	602	620	1051	1785	1022
3-dehydroquinate synthase (EC 4.2.3.4)	2	6	3	553	386	378	1084	374
3-demethylubiquinone-9 3-methyltransferase (EC 2.1.1.64)	2	4	3	128	11	6	146	16
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45)	8	18	6	2295	470	1067	1663	1032
3-deoxy-D-manno-octulosonic-acid transferase (EC 2.-.-.-)	4	5	3	722	838	1568	2924	1228
3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)	6	4	2	557	405	1061	1567	859
3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	0	1	3	1	201	295	1	45
3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)	290	683	182	5089	4210	2096	3779	2078
3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)	44	173	55	9733	7109	2715	4832	2041
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60)	0	0	0	0	0	0	0	0
3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)	5	2	1	4	4	5	7	2
3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)	1	1	1	1	79	52	24	23
3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)	1	1	2	1	238	150	45	45
3-isopropylmalate dehydrogenase (EC 1.1.1.85)	1	1	1	1	280	160	51	47
3-keto-5-aminohexanoate cleavage enzyme	0	4	0	0	0	0	1	0
3-keto-L-gulonate 6-phosphate decarboxylase	1692	12139	6332	13	9	14	19	8
